Trip ID,Destination,Duration (days),Mode of Transportation,Accommodation Type,Overall Expenses ($)
642,Rome,12,Airplane,Airbnb,3120
643,Tokyo,13,Train,Hotel,2594
644,Amsterdam,14,Bus,Hostel,2109
645,Rome,8,Airplane,Hotel,3571
646,San Francisco,12,Bus,Hotel,4623
647,Tokyo,12,Bus,Airbnb,1490
648,Berlin,11,Bus,Hostel,3047
649,London,13,Car Rental,Hotel,1577
650,Paris,2,Bus,Airbnb,1023
651,Amsterdam,3,Train,Hostel,1235
652,Rome,5,Bus,Airbnb,4821
653,San Francisco,13,Airplane,Hostel,1261
654,New York,9,Car Rental,Airbnb,4381
655,Berlin,8,Airplane,Hostel,3078
656,Tokyo,10,Bus,Airbnb,3985
657,Rome,10,Car Rental,Hostel,2954
658,Tokyo,2,Airplane,Hotel,1097
659,Tokyo,4,Car Rental,Hostel,4122
660,London,9,Bus,Hotel,2479
661,Barcelona,8,Car Rental,Hostel,2892
662,Barcelona,12,Train,Hotel,4771
663,Sydney,12,Bus,Hotel,1280
664,Tokyo,11,Train,Airbnb,1493
665,Rome,9,Airplane,Hotel,2951
666,San Francisco,5,Bus,Airbnb,2833
667,Paris,9,Train,Hotel,2147
668,New York,12,Car Rental,Hotel,3066
669,London,8,Airplane,Hostel,2975
670,Paris,11,Bus,Hostel,2314
671,Paris,4,Airplane,Hostel,3702
672,Rome,5,Bus,Hotel,2705
673,London,3,Airplane,Hotel,1419
674,Barcelona,12,Car Rental,Hostel,2702
675,Amsterdam,10,Airplane,Hostel,2269
676,San Francisco,9,Train,Hotel,4857
677,New York,4,Train,Hotel,4075
678,New York,14,Train,Hostel,4037
679,Barcelona,11,Car Rental,Hotel,3599
680,Barcelona,8,Airplane,Airbnb,4334
681,London,13,Train,Hostel,2808
682,Berlin,7,Car Rental,Airbnb,3385
683,Amsterdam,8,Airplane,Hotel,4002
684,Tokyo,4,Bus,Hotel,3029
685,Rome,5,Train,Hotel,4984
686,San Francisco,6,Airplane,Hotel,1179
687,Tokyo,13,Train,Hostel,2954
688,Barcelona,11,Airplane,Airbnb,4629
689,Berlin,5,Train,Hostel,2456
690,New York,5,Train,Hotel,2274
691,Barcelona,6,Car Rental,Hotel,3662
692,Sydney,9,Train,Airbnb,2036
693,Berlin,9,Car Rental,Hostel,4971
694,Amsterdam,12,Airplane,Hostel,1278
695,Tokyo,14,Airplane,Hostel,3969
696,Amsterdam,6,Airplane,Hotel,2382
697,Berlin,13,Airplane,Hostel,2447
698,Sydney,1,Train,Airbnb,1325
699,Berlin,4,Airplane,Hostel,2236
700,Tokyo,11,Train,Hotel,1395
701,Tokyo,7,Bus,Airbnb,4000
702,Amsterdam,12,Bus,Hostel,1214
703,Barcelona,10,Car Rental,Hostel,3382
704,Paris,10,Train,Hotel,2474
705,Barcelona,6,Airplane,Airbnb,2421
706,Amsterdam,13,Bus,Hotel,2520
707,Sydney,5,Bus,Hostel,3773
708,Sydney,6,Train,Hotel,3016
709,Amsterdam,8,Car Rental,Hostel,1512
710,Berlin,4,Train,Airbnb,4943
711,San Francisco,1,Bus,Hostel,1595
712,Berlin,1,Bus,Airbnb,2691
713,Tokyo,9,Airplane,Hotel,2865
714,San Francisco,11,Train,Airbnb,1855
715,San Francisco,1,Train,Hotel,3546
716,Paris,6,Train,Hostel,4251
717,San Francisco,14,Airplane,Airbnb,3808
718,Paris,9,Train,Airbnb,4686
719,New York,3,Car Rental,Hostel,1915
720,Tokyo,10,Train,Hostel,2417
721,London,11,Train,Airbnb,3181
722,Paris,1,Train,Airbnb,4049
723,London,1,Train,Airbnb,1793
724,Paris,6,Bus,Hostel,2637
725,Barcelona,7,Airplane,Hostel,1561
726,Berlin,6,Train,Hostel,1223
727,Tokyo,8,Bus,Hostel,4316
728,Berlin,7,Train,Airbnb,4500
729,Amsterdam,1,Airplane,Hostel,4740
730,Tokyo,6,Train,Hostel,4028
731,Sydney,6,Bus,Hotel,1667
732,Paris,12,Bus,Airbnb,3317
733,San Francisco,11,Train,Airbnb,2120
734,London,7,Train,Airbnb,4781
735,New York,6,Airplane,Hotel,4670
736,San Francisco,12,Airplane,Hostel,2754
737,San Francisco,2,Bus,Hostel,2245
738,Rome,9,Car Rental,Hotel,4390
739,Berlin,4,Airplane,Airbnb,4717
740,New York,9,Car Rental,Hostel,3239
741,London,11,Airplane,Airbnb,1007
742,Amsterdam,10,Car Rental,Hostel,1428
743,Berlin,6,Bus,Hotel,4000
744,Barcelona,12,Train,Hotel,4035
745,Tokyo,8,Airplane,Hostel,3345
746,Tokyo,9,Airplane,Airbnb,1115
747,New York,11,Bus,Hotel,3551
748,Sydney,7,Bus,Hotel,4086
749,Tokyo,4,Bus,Airbnb,4219
750,Amsterdam,7,Bus,Airbnb,1114
751,Paris,8,Bus,Airbnb,3943
752,Rome,3,Bus,Airbnb,1219
753,San Francisco,4,Bus,Hotel,1365
754,Amsterdam,9,Airplane,Hotel,1881
755,London,5,Train,Hotel,1522
756,Rome,9,Car Rental,Hotel,3680
757,Berlin,9,Train,Hotel,4684
758,San Francisco,7,Train,Hostel,1633
759,Sydney,2,Bus,Airbnb,3208
760,New York,1,Train,Airbnb,2110
761,Sydney,8,Train,Airbnb,4233
762,New York,13,Train,Hostel,3120
763,Paris,9,Train,Hostel,2430
764,Tokyo,11,Car Rental,Hostel,4347
765,Rome,3,Airplane,Hostel,3851
766,Rome,2,Airplane,Hotel,4630
767,London,14,Train,Hotel,1322
768,Berlin,11,Car Rental,Airbnb,2297
769,San Francisco,9,Bus,Hostel,2040
770,Barcelona,9,Airplane,Hotel,4842
771,London,4,Car Rental,Airbnb,2647
772,Barcelona,9,Car Rental,Airbnb,3546
773,San Francisco,6,Airplane,Hotel,4730
774,Rome,14,Airplane,Hostel,4680
775,Sydney,9,Train,Airbnb,4272
776,Berlin,10,Car Rental,Airbnb,2124
777,Rome,7,Car Rental,Hotel,3073
778,Amsterdam,11,Bus,Hotel,3347
779,London,13,Airplane,Airbnb,2081
780,London,7,Airplane,Airbnb,1774
781,San Francisco,2,Bus,Airbnb,4131
782,Amsterdam,4,Airplane,Hotel,3317
783,Berlin,2,Airplane,Hostel,2964
784,Barcelona,10,Airplane,Hostel,1630
785,Barcelona,10,Airplane,Hotel,3856
786,Sydney,14,Bus,Hotel,4278
787,Paris,11,Bus,Hotel,2181
788,Rome,10,Train,Hostel,1443
789,Tokyo,5,Bus,Airbnb,1759
790,San Francisco,1,Car Rental,Hotel,1797
791,Rome,14,Car Rental,Hotel,3522
792,San Francisco,12,Airplane,Airbnb,2832
793,London,5,Bus,Hostel,2079
794,San Francisco,10,Train,Hotel,4701
795,Tokyo,1,Bus,Airbnb,3135
796,London,2,Train,Airbnb,4715
797,San Francisco,5,Car Rental,Airbnb,2588
798,San Francisco,14,Airplane,Hostel,4689
799,San Francisco,7,Bus,Hotel,1281
800,San Francisco,8,Bus,Hostel,3772
801,Tokyo,1,Train,Airbnb,2414
802,London,11,Train,Hostel,2561
803,Paris,1,Airplane,Hotel,2018
804,Amsterdam,9,Train,Airbnb,2925
805,London,14,Train,Airbnb,2761
806,Berlin,2,Train,Airbnb,1126
807,Berlin,10,Bus,Airbnb,2978
808,London,12,Airplane,Airbnb,3965
809,Amsterdam,8,Car Rental,Airbnb,4245
810,Barcelona,11,Bus,Hostel,4335
811,New York,13,Car Rental,Hostel,3378
812,San Francisco,12,Car Rental,Hostel,3922
813,Paris,14,Bus,Hostel,1471
814,Tokyo,5,Airplane,Hostel,2947
815,Barcelona,4,Car Rental,Airbnb,4232
816,New York,10,Car Rental,Hostel,3338
817,Rome,4,Airplane,Hostel,1224
818,Sydney,11,Airplane,Airbnb,1084
819,Barcelona,12,Bus,Airbnb,4476
820,Sydney,9,Train,Hostel,1837
821,Tokyo,10,Train,Hotel,3873
822,Paris,13,Airplane,Airbnb,1411
823,Berlin,6,Car Rental,Airbnb,4420
824,London,12,Car Rental,Hotel,1146
825,Rome,14,Train,Hostel,4771
826,London,11,Train,Hostel,4223
827,Sydney,7,Train,Airbnb,1622
828,San Francisco,13,Bus,Airbnb,4588
829,New York,12,Airplane,Hotel,1881
830,Rome,1,Airplane,Hotel,2455
831,Paris,13,Train,Hostel,1235
832,Barcelona,13,Car Rental,Hotel,4492
833,San Francisco,1,Bus,Airbnb,3434
834,Amsterdam,5,Train,Airbnb,1114
835,Tokyo,4,Car Rental,Hotel,2085
836,New York,4,Train,Airbnb,1933
837,Berlin,12,Car Rental,Hotel,1848
838,Tokyo,7,Bus,Hostel,1435
839,Tokyo,1,Bus,Hotel,4901
840,San Francisco,6,Train,Hotel,2104
841,Berlin,1,Airplane,Hotel,1828
842,Tokyo,5,Airplane,Hotel,1441
843,Sydney,10,Train,Hotel,3764
844,New York,7,Airplane,Hotel,4915
845,Berlin,5,Bus,Hostel,3888
846,New York,5,Bus,Hostel,2030
847,Paris,2,Car Rental,Hotel,3787
848,London,7,Train,Airbnb,2297
849,Berlin,9,Bus,Hotel,3827
850,San Francisco,9,Car Rental,Hostel,4020
851,Amsterdam,13,Train,Airbnb,4553
852,Sydney,1,Airplane,Airbnb,2631
853,Sydney,6,Airplane,Airbnb,4538
854,Berlin,9,Airplane,Airbnb,4695
855,Sydney,10,Car Rental,Hostel,4618
856,Sydney,11,Bus,Hostel,4803
857,Rome,1,Bus,Hostel,2499
858,Sydney,9,Bus,Hotel,1429
859,San Francisco,14,Train,Hostel,1065
860,Rome,2,Airplane,Hotel,3454
861,London,2,Car Rental,Hotel,1618
862,Paris,1,Train,Hostel,3866
863,Rome,3,Bus,Airbnb,3345
864,San Francisco,7,Train,Airbnb,3458
865,Berlin,1,Car Rental,Airbnb,4317
866,London,7,Bus,Airbnb,3117
867,Barcelona,7,Train,Hostel,3272
868,Paris,1,Airplane,Airbnb,2777
869,San Francisco,7,Airplane,Hostel,2885
870,San Francisco,1,Airplane,Hotel,4736
871,Tokyo,4,Car Rental,Hotel,4655
872,Berlin,13,Airplane,Hostel,3060
873,Paris,8,Car Rental,Airbnb,2512
874,San Francisco,5,Car Rental,Hotel,2948
875,Barcelona,7,Bus,Hotel,4502
876,Amsterdam,7,Airplane,Airbnb,3626
877,Rome,9,Airplane,Hostel,2811
878,New York,10,Airplane,Airbnb,2693
879,London,4,Airplane,Airbnb,2927
880,Paris,8,Train,Hotel,4476
881,Tokyo,2,Airplane,Airbnb,4287
882,Barcelona,7,Car Rental,Hostel,2804
883,Sydney,10,Bus,Hotel,1693
884,Amsterdam,5,Car Rental,Hotel,4178
885,New York,9,Train,Hotel,3130
886,Paris,11,Car Rental,Airbnb,1622
887,Paris,1,Train,Hotel,1361
888,London,13,Bus,Hostel,2204
889,Amsterdam,3,Airplane,Hotel,1789
890,Paris,10,Bus,Airbnb,1728
891,San Francisco,14,Bus,Hotel,1657
892,Paris,2,Car Rental,Hotel,1761
893,Rome,2,Car Rental,Hotel,4005
894,New York,1,Bus,Airbnb,2994
895,Barcelona,2,Airplane,Airbnb,3414
896,San Francisco,11,Train,Hotel,3946
897,Berlin,9,Train,Hotel,4974
898,San Francisco,3,Train,Hostel,1968
899,Berlin,13,Bus,Airbnb,2290
900,Paris,4,Airplane,Hostel,2550
901,Barcelona,2,Airplane,Airbnb,1261
902,Sydney,2,Bus,Airbnb,2867
903,London,13,Train,Hostel,1550
904,Paris,5,Car Rental,Hostel,2980
905,Paris,4,Airplane,Hotel,1868
906,San Francisco,6,Airplane,Hotel,4612
907,Sydney,4,Airplane,Hotel,1084
908,Rome,9,Car Rental,Hostel,1408
909,Sydney,14,Airplane,Hotel,2289
910,New York,12,Bus,Hostel,3925
911,Barcelona,8,Bus,Airbnb,4605
912,Rome,2,Bus,Hotel,1001
913,Tokyo,6,Airplane,Airbnb,1896
914,Paris,6,Bus,Hostel,3100
915,Sydney,7,Train,Hotel,4601
916,Tokyo,4,Airplane,Hostel,2778
917,Berlin,11,Car Rental,Hotel,3404
918,Berlin,10,Train,Airbnb,4892
919,Rome,7,Bus,Hostel,1247
920,Amsterdam,11,Bus,Hostel,3278
921,Barcelona,14,Car Rental,Hotel,2536
922,Rome,1,Airplane,Airbnb,1351
923,Tokyo,11,Bus,Hotel,3227
924,London,12,Airplane,Hostel,2743
925,Tokyo,1,Airplane,Airbnb,3716
926,Sydney,13,Car Rental,Airbnb,1577
927,San Francisco,13,Bus,Hostel,3061
928,Rome,9,Bus,Hotel,4782
929,San Francisco,13,Car Rental,Hotel,1857
930,San Francisco,9,Airplane,Hotel,3898
931,Paris,4,Car Rental,Hostel,1678
932,New York,7,Car Rental,Hotel,3168
933,Barcelona,8,Car Rental,Hotel,1705
934,Paris,6,Car Rental,Hotel,4394
935,San Francisco,12,Car Rental,Hotel,4067
936,Amsterdam,4,Bus,Hostel,3617
937,New York,9,Train,Airbnb,4506
938,Sydney,1,Airplane,Airbnb,3689
939,Amsterdam,8,Airplane,Hotel,4075
940,Tokyo,7,Airplane,Airbnb,1661
941,New York,11,Bus,Airbnb,2536
942,New York,13,Train,Airbnb,4453
943,Sydney,3,Bus,Hostel,3493
944,London,4,Train,Airbnb,4906
945,Tokyo,13,Bus,Hotel,4777
946,Tokyo,9,Airplane,Hostel,1479
947,Berlin,2,Car Rental,Hostel,2895
948,San Francisco,12,Airplane,Hostel,1297
949,Amsterdam,13,Train,Airbnb,1995
950,Barcelona,13,Car Rental,Hostel,1590
951,Paris,1,Car Rental,Hostel,2360
952,Paris,4,Car Rental,Hostel,1717
953,Tokyo,14,Train,Hostel,1297
954,Berlin,3,Train,Airbnb,1267
955,Barcelona,4,Airplane,Hotel,1371
956,Barcelona,1,Car Rental,Airbnb,2415
957,Amsterdam,10,Airplane,Hotel,2710
958,Rome,3,Airplane,Hostel,4567
959,New York,4,Train,Hotel,4553
960,Paris,1,Airplane,Hostel,4546
961,Berlin,9,Bus,Airbnb,4501
962,Amsterdam,12,Train,Airbnb,3797
963,New York,14,Airplane,Hotel,4345
964,San Francisco,11,Train,Hostel,4796
965,Sydney,14,Airplane,Hostel,4590
966,Barcelona,1,Bus,Hostel,3699
967,Amsterdam,14,Train,Airbnb,1057
968,Tokyo,2,Airplane,Hotel,4242
969,Amsterdam,14,Train,Hostel,4508
970,Rome,1,Train,Airbnb,1518
971,London,10,Train,Hostel,1059
972,Amsterdam,8,Train,Hotel,2603
973,Sydney,9,Car Rental,Airbnb,4431
974,Barcelona,7,Car Rental,Hotel,2663
975,Amsterdam,12,Bus,Hostel,1792
976,San Francisco,12,Airplane,Hostel,4805
977,Paris,2,Train,Hostel,4396
978,Berlin,12,Airplane,Hotel,2329
979,Amsterdam,11,Train,Airbnb,4182
980,San Francisco,13,Car Rental,Airbnb,4738
981,New York,5,Airplane,Hostel,2605
982,San Francisco,9,Airplane,Hostel,1396
983,Paris,8,Airplane,Hotel,1085
984,London,5,Bus,Airbnb,1809
985,Amsterdam,14,Bus,Hotel,1813
986,Sydney,1,Bus,Hotel,4267
987,Paris,1,Train,Hotel,3228
988,San Francisco,11,Car Rental,Airbnb,4390
989,Rome,9,Train,Hotel,1484
990,London,10,Airplane,Airbnb,4806
991,Barcelona,3,Airplane,Hostel,1655
992,Rome,5,Airplane,Airbnb,1217
993,Paris,12,Bus,Hostel,2304
994,London,6,Bus,Hotel,1275
995,Rome,13,Train,Airbnb,1472
996,New York,14,Airplane,Airbnb,4113
997,Amsterdam,11,Train,Hotel,3150
998,Sydney,8,Car Rental,Hotel,2372
999,Tokyo,10,Train,Hotel,4616
1000,Tokyo,10,Airplane,Hotel,3412
